asset_id,canonical_name,aliases,development_codes,target,payload,linker,indication,company,clinical_phase,adc_scope,catalog_status,source_count,sources,nct_ids,date_added_to_table
NAR_DRG0IQNVH,PRO-1102,PRO 1102; PRO1102,,Receptor tyrosine-protein kinase erbB-2 (HER2),,,,"ProfoundBio (Suzhou) Co., Ltd",Investigative,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; conference_abstract_corpus,,2026-09-01
NAR_DRG0IRZIB,Glembatumumab vedotin,,,,MMAE (monomethyl auristatin E),valine-citrulline cleavable linker (typical),Advanced Malignant Solid Neoplasm; Estrogen Receptor Negative; GPNMB Positive; HER2/Neu Negative; Melanoma; Metastatic Malignant Solid Neoplasm; Metastatic Melanoma; Progesterone Receptor Negative; Recurrent Osteosarcoma; Recurrent Uveal Melanoma; Stage III Breast Cancer AJCC v7; Stage III Cutaneous Melanoma AJCC v7; Stage III Uveal Melanoma AJCC v7; Stage IIIA Cutaneous Melanoma AJCC v7; Stage IIIB Cutaneous Melanoma AJCC v7; Stage IIIC Cutaneous Melanoma AJCC v7; Stage IV Breast Cancer AJCC v6 and v7; Stage IV Cutaneous Melanoma AJCC v6 and v7; Stage IV Uveal Melanoma AJCC v7; Triple Negative Breast Cancer; Triple-Negative Breast Carcinoma; Unresectable Solid Neoplasm,,Phase 2,PRESUMED_ADC,MULTISOURCE_CONFIRMED,4,nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc,,2026-09-01
NAR_DRG0IRZPG,AB-160,AB 160; AB-160; AB160; nab-paclitaxel/bevacizumab complex,,Vascular endothelial growth factor A (VEGFA),,,,Mayo Clinic,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0ISFPP,Anti-B7-2-gelonin immunotoxin,AntiB72 monoclonal antibodygelonin immunotoxin conjugate; B72 targeted immunotoxin,,T-lymphocyte activation antigen CD86 (CD86),,,,Bologna University,Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0ITBMZ,HD-101,Amanitin-CD269 antibody drug conjugate; CD269-ATAC; anti-CD269-30.1699; anti-CD269-30.2115; anti-CD269-Thiomab-30.1699; anti-CD269-Thiomab-30.2115,,Tumor necrosis factor receptor superfamily member 17 (TNFRSF17),,,,Heidelberg Pharma AG,Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0IUXVP,ABBV-324,,,,,,,,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,NCT06858813,2026-09-01
NAR_DRG0IVDIV,TQB2102,TQB 2102; TQB-2102; TQB2102,,Receptor tyrosine-protein kinase erbB-2 (HER2 ECD2); Receptor tyrosine-protein kinase erbB-2 (HER2 ECD4),,,,"Nanjing Shunxin Pharmaceutical Co., Ltd; Sino Biopharmaceutical Ltd",Phase 2,PRESUMED_ADC,MULTISOURCE_CONFIRMED,3,nar_reference; conference_abstract_corpus; europe_pmc,NCT05735496,2026-09-01
NAR_DRG0IWQWQ,DXC-014,,,,,,,,Phase 1,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; conference_abstract_corpus,NCT07177937,2026-09-01
NAR_DRG0IYBRT,ADCT-602,ADCT-602; Epratuzumab-cys-SG3249; Epratuzumab-cys-tesirine; hLL2-cys-PBD; hLL2-cys-SG3249,,B-cell receptor CD22 (CD22),,,,ADC Therapeutics SA,Phase 1/2,PRESUMED_ADC,MULTISOURCE_CONFIRMED,3,nar_reference; conference_crossref_search; europe_pmc,NCT03698552,2026-09-01
NAR_DRG0JBKMD,Labetuzumab govitecan,"Anti-CEA monoclonal antibody; Anti-carcinoembryonic antigen monoclonal antibody; HMN-14-SN38; IMMU-130; IMMU-130, hMN14-SN38; Labetuzumab govitecan; Labetuzumab-SN38 conjugate; SN38-labetuzumab conjugate; anti-CEACAM5-SN38; hMN-14-SN38 antibody-drug conjugate",,Carcinoembryonic antigen-related cell adhesion molecule 5 (CEACAM5),"SN-38 (topoisomerase-1 inhibitor, irinotecan metabolite)",cleavable CL2A linker (typical),Colon Cancer; Metastatic Colorectal Cancer; Rectal Cancer,"Immunomedics, Inc; IBC Pharmaceuticals, Inc; Gilead Sciences, Inc",Phase 2 (Terminated),PRESUMED_ADC,MULTISOURCE_CONFIRMED,3,nar_reference; clinicaltrials; conference_abstract_corpus,NCT01605318,2026-09-01
NAR_DRG0JCGJZ,ABBV-291,,,,,,,,Phase 1,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; conference_abstract_corpus,NCT06667687,2026-09-01
NAR_DRG0JCWGF,TRPH-222,CAT-02-106; CD22 ADC; CD22 antibody drug conjugate; CD22-4AP; TRPH 222; TRPH-222; TRPH222,,B-cell receptor CD22 (CD22),,,,"Catalent, Inc; Triphase Accelerator Corp; Triphase Research and Development III Corp",Phase 1 (Terminated),PRESUMED_ADC,MULTISOURCE_CONFIRMED,3,nar_reference; clinicaltrials; conference_abstract_corpus,NCT03682796,2026-09-01
NAR_DRG0JDDLS,GF-2014,GF 2014; GF2014,,Undisclosed,,,,"GenFleet Therapeutics (Shanghai) Co., Ltd",Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
