indication	n_adc_candidates
B Lymphoblastic Lymphoma	1
B-cell Adult Acute Lymphoblastic Leukemia	1
B-cell Lymphoma Refractory	1
Blasts More Than 5 Percent of Bone Marrow Nucleated Cells	1
Burkitt-Like Lymphoma With 11q Aberration	1
CD22 Positive	1
Philadelphia Chromosome Positive Adult Precursor Acute Lymphoblastic Leukemia	1
Philadelphia Chromosome Positive, BCR-ABL1 Positive Chronic Myelogenous Leukemia	1
Precursor Cell Lymphoblastic Leukemia-Lymphoma	1
Recurrent Adult Acute Lymphoblastic Leukemia	1
Recurrent Adult Burkitt Lymphoma	1
Recurrent B Acute Lymphoblastic Leukemia	1
Recurrent B Lymphoblastic Lymphoma	1
Recurrent Burkitt Lymphoma	1
Refractory B Acute Lymphoblastic Leukemia	1
Refractory B Lymphoblastic Lymphoma	1
Refractory Burkitt Lymphoma	1
ALK-Positive Large B-Cell Lymphoma	1
Aggressive Non-Hodgkin Lymphoma	1
Ann Arbor Stage II Diffuse Large B-Cell Lymphoma	1
Ann Arbor Stage II Follicular Lymphoma	1
Ann Arbor Stage II Marginal Zone Lymphoma	1
Ann Arbor Stage III Diffuse Large B-Cell Lymphoma	1
Ann Arbor Stage III Follicular Lymphoma	1
Ann Arbor Stage III Marginal Zone Lymphoma	1
Ann Arbor Stage IV Diffuse Large B-Cell Lymphoma	1
Ann Arbor Stage IV Follicular Lymphoma	1
Ann Arbor Stage IV Marginal Zone Lymphoma	1
B-cell Lymphoma	1
B-cell Non-Hodgkin Lymphoma	1
DLBCL	1
Diffuse Large B Cell Lymphoma (DLBCL)	1
Diffuse Large B-Cell Lymphoma Unclassifiable	1
Diffuse Large B-Cell Lymphoma, Not Otherwise Specified	1
Double Expressor Lymphoma	1
EBV-Positive Diffuse Large B-Cell Lymphoma, Not Otherwise Specified	1
Grade 1 Follicular Lymphoma	1
Grade 2 Follicular Lymphoma	1
Grade 3a Follicular Lymphoma	1
Grade 3b Follicular Lymphoma	1
Gray-Zone Lymphoma	1
High Grade B-Cell Lymphoma	1
High Grade B-Cell Lymphoma w/MYC & BCL2 or BCL6 Rearrangements	1
